category,clip_id,content_sha256,crop,derivation,first_frame_dhash,fps,height,license,n_frames,notes,parent_scene_id,provenance,source_credit,source_id,source_kind,source_license,source_sha256,split,t_end_s,t_start_s,width
low-detail,clip_clouds_slow_v0,7329ce01355a4b028deb8c2bee6f177d79ed5f0561701f3139d89f63e4efbc6b,,,a773aa591b593539,8.333,192,generated-in-repo,16,"procedural research clip 'clouds', motion=slow, phase0=0.0, viewpoint variant 0, 256x192, 16 frames",synthetic:clouds-v0,synthetic,,synthetic:clouds-v0,"procedural research clip 'clouds', motion=slow, phase0=0.0, viewpoint variant 0, 256x192, 16 frames",,,test,1.9201,0.0,256
low-detail,clip_clouds_fast_v4,a9b409739157e4d34f251117066c47c5fe58a7edbce0e50b3a1105b1ca258e20,,,39bcf48b2d6c1612,8.333,192,generated-in-repo,16,"procedural research clip 'clouds', motion=fast, phase0=0.44, viewpoint variant 4, 256x192, 16 frames",synthetic:clouds-v4,synthetic,,synthetic:clouds-v4,"procedural research clip 'clouds', motion=fast, phase0=0.44, viewpoint variant 4, 256x192, 16 frames",,,test,1.9201,0.0,256
structure,clip_grid_slow_v0,df2f006726e2518800361f8c1873d94e601345463882dfb2a2425ea64a64c4ab,,,86868696b6b4b4f4,8.333,192,generated-in-repo,16,"procedural research clip 'grid', motion=slow, phase0=0.0, viewpoint variant 0, 256x192, 16 frames",synthetic:grid-v0,synthetic,,synthetic:grid-v0,"procedural research clip 'grid', motion=slow, phase0=0.0, viewpoint variant 0, 256x192, 16 frames",,,test,1.9201,0.0,256
structure,clip_grid_fast_v6,2453f46f9dcc3b0f5d64085613010caa3f2a65997cd5c9f93aeb99c64e42c2a7,,,03831f1f0e3c7cf8,8.333,192,generated-in-repo,16,"procedural research clip 'grid', motion=fast, phase0=0.72, viewpoint variant 6, 256x192, 16 frames",synthetic:grid-v6,synthetic,,synthetic:grid-v6,"procedural research clip 'grid', motion=fast, phase0=0.72, viewpoint variant 6, 256x192, 16 frames",,,test,1.9201,0.0,256
high-detail,clip_lowlight_slow_v0,c44191d183e75dfa673fdd5d53874f3b0e30f41d0d48ce266420fae2c142ff6f,,,c0c4cccc5c78b810,8.333,192,generated-in-repo,16,"procedural research clip 'lowlight', motion=slow, phase0=0.0, viewpoint variant 0, 256x192, 16 frames",synthetic:lowlight-v0,synthetic,,synthetic:lowlight-v0,"procedural research clip 'lowlight', motion=slow, phase0=0.0, viewpoint variant 0, 256x192, 16 frames",,,test,1.9201,0.0,256
high-detail,clip_lowlight_fast_v8,afef2c7d0ea195493ecadaa5526bff5392b8db1345b8d6936d0c8559362ed93c,,,80868686b6727070,8.333,192,generated-in-repo,16,"procedural research clip 'lowlight', motion=fast, phase0=0.18, viewpoint variant 8, 256x192, 16 frames",synthetic:lowlight-v8,synthetic,,synthetic:lowlight-v8,"procedural research clip 'lowlight', motion=fast, phase0=0.18, viewpoint variant 8, 256x192, 16 frames",,,test,1.9201,0.0,256
text,clip_text_slow_v0,9d4ba3ac44c61d85f33ad8b7f9bf736cce345ee707c10568d83d80d6de42bd09,,,4c54584c88785800,8.333,192,generated-in-repo,16,"procedural research clip 'text', motion=slow, phase0=0.0, viewpoint variant 0, 256x192, 16 frames",synthetic:text-v0,synthetic,,synthetic:text-v0,"procedural research clip 'text', motion=slow, phase0=0.0, viewpoint variant 0, 256x192, 16 frames",,,test,1.9201,0.0,256
text,clip_text_fast_v11,ad9b6506b334740058d270930e926d370ad208900ef357160b8615e384366c0e,,,1d05050d090a0400,8.333,192,generated-in-repo,16,"procedural research clip 'text', motion=fast, phase0=0.55, viewpoint variant 11, 256x192, 16 frames",synthetic:text-v11,synthetic,,synthetic:text-v11,"procedural research clip 'text', motion=fast, phase0=0.55, viewpoint variant 11, 256x192, 16 frames",,,test,1.9201,0.0,256
low-detail,clip_illumination_slow_v0,e8ed1c5bf4895f613f4f225732c2476e3d25c78ea3e858b7fb64ec2f1ebe50ac,,,9fa2a2a2a2a2a2ff,8.333,192,generated-in-repo,16,"procedural research clip 'illumination', motion=slow, phase0=0.0, viewpoint variant 0, 256x192, 16 frames",synthetic:illumination-v0,synthetic,,synthetic:illumination-v0,"procedural research clip 'illumination', motion=slow, phase0=0.0, viewpoint variant 0, 256x192, 16 frames",,,test,1.9201,0.0,256
low-detail,clip_smooth_slow_v0,1139aa3d6f02b7aef953d4c9345e1ea3d12f723cd825baf4b2bc744ff40463a4,,,8787878787878787,8.333,192,generated-in-repo,16,"procedural research clip 'smooth', motion=slow, phase0=0.0, viewpoint variant 0, 256x192, 16 frames",synthetic:smooth-v0,synthetic,,synthetic:smooth-v0,"procedural research clip 'smooth', motion=slow, phase0=0.0, viewpoint variant 0, 256x192, 16 frames",,,test,1.9201,0.0,256
structure,clip_horizon_slow_v13,8c56c8175ffa213f8f69aac296336299b2508a049f8dc8ddce06bf7b2d3e22d4,,,b775b771736373e3,8.333,192,generated-in-repo,16,"procedural research clip 'horizon', motion=slow, phase0=0.21, viewpoint variant 13, 256x192, 16 frames",synthetic:horizon-v13,synthetic,,synthetic:horizon-v13,"procedural research clip 'horizon', motion=slow, phase0=0.21, viewpoint variant 13, 256x192, 16 frames",,,calibration,1.9201,0.0,256
structure,clip_road_slow_v15,1ff28d90e7e60019ae2eb8816748c9f84e5af5d629f2701ae27457f2a22eeabb,,,d798a82f2e242723,8.333,192,generated-in-repo,16,"procedural research clip 'road', motion=slow, phase0=0.33, viewpoint variant 15, 256x192, 16 frames",synthetic:road-v15,synthetic,,synthetic:road-v15,"procedural research clip 'road', motion=slow, phase0=0.33, viewpoint variant 15, 256x192, 16 frames",,,calibration,1.9201,0.0,256
high-detail,clip_targets_slow_v17,b26d7d2400b9976c21f48826acc2667843483e4ee34881806ac44a48650f7bfa,,,474f0f8f17178d0e,8.333,192,generated-in-repo,16,"procedural research clip 'targets', motion=slow, phase0=0.47, viewpoint variant 17, 256x192, 16 frames",synthetic:targets-v17,synthetic,,synthetic:targets-v17,"procedural research clip 'targets', motion=slow, phase0=0.47, viewpoint variant 17, 256x192, 16 frames",,,calibration,1.9201,0.0,256
high-detail,clip_texture_slow_v19,3635344006884b47b581e07e5b0ae8582ffa15e5ca7223b214d328321c48e8d1,,,924d9264d2244ba6,8.333,192,generated-in-repo,16,"procedural research clip 'texture', motion=slow, phase0=0.09, viewpoint variant 19, 256x192, 16 frames",synthetic:texture-v19,synthetic,,synthetic:texture-v19,"procedural research clip 'texture', motion=slow, phase0=0.09, viewpoint variant 19, 256x192, 16 frames",,,calibration,1.9201,0.0,256
structure,clip_edges_slow_v21,bba03b32be5ee1d441c35eb7a867c10d0caa9c5f3640808af76216ba935b3e02,,,bfa5273491959190,8.333,192,generated-in-repo,16,"procedural research clip 'edges', motion=slow, phase0=0.66, viewpoint variant 21, 256x192, 16 frames",synthetic:edges-v21,synthetic,,synthetic:edges-v21,"procedural research clip 'edges', motion=slow, phase0=0.66, viewpoint variant 21, 256x192, 16 frames",,,calibration,1.9201,0.0,256
low-detail,clip_clouds_slow_v23,3db636ed0750f366a872548eecab12a8a59671073e8dd74e0df81eb10da2fbb1,,,70515a8747c595b7,8.333,192,generated-in-repo,16,"procedural research clip 'clouds', motion=slow, phase0=0.28, viewpoint variant 23, 256x192, 16 frames",synthetic:clouds-v23,synthetic,,synthetic:clouds-v23,"procedural research clip 'clouds', motion=slow, phase0=0.28, viewpoint variant 23, 256x192, 16 frames",,,calibration,1.9201,0.0,256
text,clip_text_slow_v25,ebe260b51d21f07fb989b6b3fd134af5adeff4618d0852a9f8bd52ad994f3516,,,03190d0703010700,8.333,192,generated-in-repo,16,"procedural research clip 'text', motion=slow, phase0=0.81, viewpoint variant 25, 256x192, 16 frames",synthetic:text-v25,synthetic,,synthetic:text-v25,"procedural research clip 'text', motion=slow, phase0=0.81, viewpoint variant 25, 256x192, 16 frames",,,calibration,1.9201,0.0,256
high-detail,clip_lowlight_slow_v27,01801f0f3a31c6912097df0503edb38f1abac33ca92c83e465ea5d36f1fc0baa,,,0ccc8c8cc06062a0,8.333,192,generated-in-repo,16,"procedural research clip 'lowlight', motion=slow, phase0=0.05, viewpoint variant 27, 256x192, 16 frames",synthetic:lowlight-v27,synthetic,,synthetic:lowlight-v27,"procedural research clip 'lowlight', motion=slow, phase0=0.05, viewpoint variant 27, 256x192, 16 frames",,,calibration,1.9201,0.0,256
structure,clip_horizon_fast_v29,f869169794e1d033b13453027892ecb7caf298e47025b8f69f4c25d61ba3aca1,,,0000008e8e8ecece,8.333,192,generated-in-repo,16,"procedural research clip 'horizon', motion=fast, phase0=0.74, viewpoint variant 29, 256x192, 16 frames",synthetic:horizon-v29,synthetic,,synthetic:horizon-v29,"procedural research clip 'horizon', motion=fast, phase0=0.74, viewpoint variant 29, 256x192, 16 frames",,,validation,1.9201,0.0,256
structure,clip_road_fast_v31,4d10a281d8db1e81eea4a41238d1c38de7c340d4d15b48f2e5af00d1d58e8e99,,,cb282c2524262323,8.333,192,generated-in-repo,16,"procedural research clip 'road', motion=fast, phase0=0.12, viewpoint variant 31, 256x192, 16 frames",synthetic:road-v31,synthetic,,synthetic:road-v31,"procedural research clip 'road', motion=fast, phase0=0.12, viewpoint variant 31, 256x192, 16 frames",,,validation,1.9201,0.0,256
high-detail,clip_targets_fast_v33,8810adb34e3ddbf1d15eed65bf66ed71de81c3255e3447787b6369329fbcfc6e,,,0b0f8f0f0f270387,8.333,192,generated-in-repo,16,"procedural research clip 'targets', motion=fast, phase0=0.58, viewpoint variant 33, 256x192, 16 frames",synthetic:targets-v33,synthetic,,synthetic:targets-v33,"procedural research clip 'targets', motion=fast, phase0=0.58, viewpoint variant 33, 256x192, 16 frames",,,validation,1.9201,0.0,256
high-detail,clip_texture_fast_v35,f83813fe7930cb702bcba0ea5768f52ee2c3457927a79bac50750dd1ba4e09f6,,,dba4d22d936d932d,8.333,192,generated-in-repo,16,"procedural research clip 'texture', motion=fast, phase0=0.86, viewpoint variant 35, 256x192, 16 frames",synthetic:texture-v35,synthetic,,synthetic:texture-v35,"procedural research clip 'texture', motion=fast, phase0=0.86, viewpoint variant 35, 256x192, 16 frames",,,validation,1.9201,0.0,256
structure,clip_grid_slow_v37,c453c46d1a498630d10904e4c346181174e646a269cb1923ffdd20a8f7409a7f,,,3b151e8f4543c1e0,8.333,192,generated-in-repo,16,"procedural research clip 'grid', motion=slow, phase0=0.41, viewpoint variant 37, 256x192, 16 frames",synthetic:grid-v37,synthetic,,synthetic:grid-v37,"procedural research clip 'grid', motion=slow, phase0=0.41, viewpoint variant 37, 256x192, 16 frames",,,validation,1.9201,0.0,256
low-detail,clip_clouds_fast_v39,b13e90d7e76b517bbf7530660af7da0dcb760f3e645a47d7e48b2f687a1f1877,,,e5c3349a8e8b6b2e,8.333,192,generated-in-repo,16,"procedural research clip 'clouds', motion=fast, phase0=0.63, viewpoint variant 39, 256x192, 16 frames",synthetic:clouds-v39,synthetic,,synthetic:clouds-v39,"procedural research clip 'clouds', motion=fast, phase0=0.63, viewpoint variant 39, 256x192, 16 frames",,,validation,1.9201,0.0,256
